Student_Num,ID,firstName,lastName,emailAddress,Requirement_01,Requirement_02,Requirement_03,Requirement_04,Requirement_05
Student_01,19173206,Álvaro,Pérez,alvaro.perez@student.uva.nl,1,1,0,0,1
Student_02,18888954,Wanjiru,Kamau,wanjiru.kamau@student.uva.nl,0,1,1,0,1
Student_03,18998932,Åsa,Andersson,asa.andersson@student.uva.nl,1,1,0,0,1
Student_04,19306632,David,Smith,david.smith@student.uva.nl,1,1,0,0,1
Student_05,19730213,Elena,Fernández,elena.fernandez@student.uva.nl,1,1,0,1,1
Student_06,19253563,Wei,Li,wei.li@student.uva.nl,0,1,0,0,1
Student_07,18888966,Sami,El-Gamal,sami.el-gamal@student.uva.nl,1,1,0,0,1
Student_08,19771113,Nadia,Ali,nadia.ali@student.uva.nl,0,1,0,0,1
Student_09,19837128,Xiaoyan,Chen,xiaoyan.chen@student.uva.nl,1,1,1,0,1
Student_10,18888947,Kofi,Mensah,kofi.mensah@student.uva.nl,1,1,0,0,1
Student_11,18888955,Zainab,Abubakar,zainab.abubakar@student.uva.nl,1,1,0,0,1
Student_12,18888971,Khadija,Mohamed,khadija.mohamed@student.uva.nl,0,1,0,1,1
Student_13,19497893,Éva,Kovács,eva.kovacs@student.uva.nl,1,1,0,0,0
Student_14,19536293,Sofia,Rossi,sofia.rossi@student.uva.nl,0,1,1,0,1
Student_15,19628680,Aiko,Tanaka,aiko.tanaka@student.uva.nl,1,1,0,0,0
Student_16,18888950,Patience,Mbeki,patience.mbeki@student.uva.nl,0,1,0,0,0
Student_17,19929832,Zeynep,Yılmaz,zeynep.yilmaz@student.uva.nl,0,1,1,0,1
Student_18,19225672,Oliver,Schmidt,oliver.schmidt@student.uva.nl,1,1,0,1,1
Student_19,19068443,Ahmed,Ali,ahmed.ali@student.uva.nl,1,1,0,1,1
Student_20,19720586,Fumi,Yamada,fumi.yamada@student.uva.nl,1,1,0,0,1
Student_21,19101713,Xinyi,Zhang,xinyi.zhang@student.uva.nl,1,1,1,0,1
Student_22,18888951,Samuel,Johnson,samuel.johnson@student.uva.nl,1,1,0,0,1
Student_23,18888969,Fatima,Zahra,fatima.zahra@student.uva.nl,1,1,1,1,1
Student_24,19137429,Jakob,Müller,jakob.müller@student.uva.nl,0,1,1,0,1
Student_25,19979272,Leïla,Ben Ali,leila.ben ali@student.uva.nl,1,1,1,1,1
Student_26,18888952,Thando,Mthembu,thando.mthembu@student.uva.nl,0,1,0,0,0
Student_27,18888945,Chinenye,Nwachukwu,chinenye.nwachukwu@student.uva.nl,1,1,0,0,1
Student_28,19383393,Åke,Svensson,ake.svensson@student.uva.nl,1,1,0,1,0
Student_29,18888962,Malik,Hassan,malik.hassan@student.uva.nl,0,1,0,0,0
Student_30,19032793,Quentin,Dubois,quentin.dubois@student.uva.nl,1,1,0,1,1
Student_31,19347532,Marco,Rossi,marco.rossi@student.uva.nl,0,1,1,1,1
Student_32,19235236,Grégoire,Dupont,gregoire.dupont@student.uva.nl,1,1,0,1,1
Student_33,19583843,Katerina,Papadopoulou,katerina.papadopoulou@student.uva.nl,1,1,0,1,1
Student_34,19545272,Yasuko,Tanaka,yasuko.tanaka@student.uva.nl,1,1,1,1,1
Student_35,19044372,Zoltán,Kovács,zoltan.kovacs@student.uva.nl,1,1,0,0,1
Student_36,19965932,Johanna,Müller,johanna.müller@student.uva.nl,0,1,0,0,1
Student_37,19823942,Pierre,Lévy,pierre.levy@student.uva.nl,1,1,0,0,1
Student_38,18954528,Chloé,Martin,chloe.martin@student.uva.nl,0,1,0,0,0
Student_39,18888964,Omar,Ibrahim,omar.ibrahim@student.uva.nl,1,1,1,0,0
Student_40,19893972,Laura,Martínez,laura.martinez@student.uva.nl,0,1,0,0,0
Student_41,18888946,Fatoumata,Diallo,fatoumata.diallo@student.uva.nl,1,1,0,0,1
Student_42,19272593,Victor,Ivanov,victor.ivanov@student.uva.nl,1,1,1,0,0
Student_43,19818032,Uma,Patel,uma.patel@student.uva.nl,1,1,0,0,1
Student_44,19915782,Tatyana,Ivanova,tatyana.ivanova@student.uva.nl,1,1,1,1,0
Student_45,19092837,Rafał,Nowak,rafal.nowak@student.uva.nl,1,1,0,0,1
Student_46,19077913,Hiroko,Sato,hiroko.sato@student.uva.nl,0,1,1,0,1
Student_47,18888963,Maryam,Yusuf,maryam.yusuf@student.uva.nl,1,1,0,0,0
Student_48,19944273,Đặng,Trần,dang.tran@student.uva.nl,0,1,0,0,1
Student_49,19876492,Hà,Nguyễn,ha.nguyen@student.uva.nl,1,1,1,0,0
Student_50,19687523,Qian,Wang,qian.wang@student.uva.nl,0,1,0,0,1
Student_51,18888948,Naledi,Dlamini,naledi.dlamini@student.uva.nl,1,1,0,0,0
Student_52,19650813,Yasmin,Khan,yasmin.khan@student.uva.nl,0,1,1,0,0
Student_53,18888967,Yasmin,Patel,yasmin.patel@student.uva.nl,1,1,0,0,0
Student_54,18888959,Jamal,Omar,jamal.omar@student.uva.nl,0,1,1,1,1
Student_55,18888968,Yusuf,Ahmed,yusuf.ahmed@student.uva.nl,1,1,1,1,1
Student_56,19434472,Thomas,Müller,thomas.müller@student.uva.nl,0,1,1,0,0
Student_57,18888965,Rabia,Khan,rabia.khan@student.uva.nl,0,1,0,1,1
Student_58,19696152,Wei,Chen,wei.chen@student.uva.nl,1,1,0,0,1
Student_59,18888958,Halima,Ibrahim,halima.ibrahim@student.uva.nl,0,1,1,0,1
Student_60,19328493,Benoît,Dubois,benoit.dubois@student.uva.nl,0,1,0,1,1
Student_61,18888960,Khadija,Ahmed,khadija.ahmed@student.uva.nl,1,0,0,0,1
Student_62,19184772,Faisal,Khan,faisal.khan@student.uva.nl,1,1,0,1,1
Student_63,19410413,Kim,Lee,kim.lee@student.uva.nl,1,1,1,1,1
Student_64,18888970,Ibrahim,Ali,ibrahim.ali@student.uva.nl,1,1,0,1,1
Student_65,19500943,Anya,Kuznetsova,anya.kuznetsova@student.uva.nl,0,1,0,1,1
Student_66,19219483,Özlem,Yılmaz,ozlem.yilmaz@student.uva.nl,1,1,1,0,1
Student_67,19649232,Priya,Patel,priya.patel@student.uva.nl,0,1,1,1,1
Student_68,19362789,Michał,Kowalski,michal.kowalski@student.uva.nl,1,1,1,0,1
Student_69,19618332,Gabriela,Silva,gabriela.silva@student.uva.nl,1,1,1,0,1
Student_70,19472513,Björn,Hansen,bjorn.hansen@student.uva.nl,1,1,1,0,0
Student_71,19605691,Íñigo,López,inigo.lopez@student.uva.nl,1,1,0,0,0
Student_72,19762189,Caoimhín,Ó Súilleabháin,caoimhin.osuilleabhain@student.uva.nl,1,0,0,0,0
Student_73,19791972,Vânia,Silva,vania.silva@student.uva.nl,0,1,0,1,0
Student_74,19855072,Cécile,Dubois,cecile.dubois@student.uva.nl,1,1,0,0,1
Student_75,18888956,Amina,El-Sayed,amina.el-sayed@student.uva.nl,0,1,0,0,0
Student_76,18888957,Farouk,Abdel-Aziz,farouk.abdel-aziz@student.uva.nl,1,1,0,1,0
Student_77,18888972,Maryam,Ahmed,maryam.ahmed@student.uva.nl,1,1,0,0,1
Student_78,19576352,Rachel,Cohen,rachel.cohen@student.uva.nl,0,1,1,0,1
Student_79,19756328,Nóra,O'Connor,nora.oconnor@student.uva.nl,0,1,0,1,1
Student_80,19399328,Ulrich,Schmidt,ulrich.schmidt@student.uva.nl,1,1,0,0,0
Student_81,18888949,Oluwatosin,Adewale,oluwatosin.adewale@student.uva.nl,1,1,1,0,0
Student_82,19521472,Idris,Ali,idris.ali@student.uva.nl,1,1,0,0,0
Student_83,19950913,Sarah,Johnson,sarah.johnson@student.uva.nl,1,1,0,0,1
Student_84,18888953,Uche,Nnaji,uche.nnaji@student.uva.nl,0,1,1,1,1
Student_85,18888961,Layla,Ali,layla.ali@student.uva.nl,0,1,0,0,1
